Kommentaar,Staatus,Pos,Neg
"Siin pole ju midagi vägivaldset, väike käis niikaua suurele peale kui sellel kopa ette viskas ja natuke pures, isegi verd ei olnud väljas. Meedia teeb sääsest elevanid, mõttetu kamm üles tõmmatud. Loomadel on omad instingtid ja pole inimese asi neid arutada. ",2,20,8
" Rain Kuru, Andrus Mitt ja naisolevuse fb Prl Kendra (Prenge Kendra).",2,2,12
"Ei ole siin midagi,kuramuse turkistan..-saad piraka per*sse,nii,et vähe pole..Pömaka per*sse..",2,5,7
paberi puudusel kirjutada seinale kolme sõrmega 111.,2,1,0
Pigem venelased koos ISISega.,2,9,6
"Oled sa saarlane või setu, ära augu serva situ!",2,2,8
"Kes miinuseid laovad? moslemid?<br /> Türklased alustasid Euroopas laamendamist ca 635 aastal ja välja saadi need elusaltnülgijad alles aastal 1683! Nad laamendasid seega Euroopas 1000+ aastat!<br /> """"1480. aasta 28. juulil maabus Ahmed-paša armee Otranto linna all, mida kahe nädala jooksul kaitsesid vaid linlased ja käputäis sõdureid. Ka siin tungisid moslemid lõpuks katedraalkirikusse, kus võtsid pea maha armulauda jaganud peapiiskopil ja koos temaga ka kõigil vaimulikel. Noored ja kenad naised anti sõduritele, teised kas tapeti või viidi orjusse. Lõpuks küsiti ühelt Ahmed-paša laagrisse viidud vangistatute rühmalt, kuhu kuulus umbes 800 noort inimest vanuses 15–18, kas nad tahavad võtta vastu islami või surra.<br />“Mina eelistaksin surma,” vastas 16-aastane kangur Antonio Grimaldo Peculla. Tema järel vastasid nõnda ka kõik teised. Ahmed-paša rahuldas nende soovi, eemaldades neil kõigil pea kehast. Tapatalgud kestsid kaheksa päeva. Iga päev hukati sada noort inimest.<br />Vaid ainult keegi Mario Bernabei pääses, hakates muslimiks. Aga ta osutus väga halvaks musulmaniks ning ta aeti peagi teibasse.""""<br /> """" See kirjatükk võib hästi värskendada unustajate või õigemini kahepalgeliste mälu. Eriti Euroopas, kes itkeb ainult moslemeid ja mitte kunagi juute või kristlasi, budiste või hindusid. Konstantinoopoli langemisi üksikasjade meenutamine oleks poliitiliselt ebakorrektne.<br />Koidikul, kui Mehmeti sõjamehed tulistasid kahuritest linnavalle, varjusid linlased Hagia Sophia kirikusse ja laulsid psalme, et pälvida taevaste jõudude halastust. Patriarh teenis oma viimase liturgia ja et vähendada paanikat, ütles kindlal häälel järgnevat: “Ärge kartke, mu õed ja vennad! Homme olete juba Taevases Kuningriigis ja teie nimed jäävad seal kestma aegade lõpuni!” Lapsed nutsid hirmunult, emad üritasid neid lohutada: “Tasa, tasa, lapsuke! Me sureme oma usu pärast Kristusesse Jeesusesse! Sureme oma valitseja Konstantinus XI ja meie kodumaa eest.”<br />Osmanite väed tungisid trummipõrina saatel läbi purunenud linnamüüri pühkides enda eest minema genualastest, veneetslastest ja hispaanlastest kaitsjaid, raiudes neid tükkideks oma kirveste ja mõõkadega, tungisid Sophia katedraali ja võtsid pead maha kõigil, kes seal olid, kaas arvatud lastel.<br />Türklased lahutasid kirikus meelt, heites küünalde pihta neid väikeseid maha lõigatud päid. Tapatalgud kestsid keskpäevani ning lõppesid alles siis, kui suurvesiir tõusis Hagia Sophia katedraali ambonile, ikooniseina esisele kõrgendikule, ja pöördus mõrvarite poole: “Puhake. See hoone kuulub nüüd Allahile.”<br />Samal ajal linn põles, sõjardid tapsid, poosid ja ajasid teibasse. Janitšarid vägistasid ja tapsid nunni (mõne tunniga tapeti neid umbes 4000) ja panid ellujäänud ahelatesse, et nad turgudel maha müüa. Samal ajal valmistusid Allahi sulased pidusööminguks. Pidusööminguks, mille käigus jõi Mehmet II end vastupidiselt prohvet Muhammadi seadustele Küprose veinist täis ja omades nõrkust noorte poiste suhtes, käskis enda juurde tuua suurvürst Notarase poja.<br />14-aastane poiss oli kuulus oma ilu poolest. Kõigi silme all Mehmet vägistas ta. Seejärel laskis kohale tuua poisi perekonna: vanemad, vanavanemad, tädid, onude ja tädide lapsed. Vägistatud poisi silme all laseb ta neil kõigil ükshaaval pead maha lõigata. Samuti käskis ta lõhkuda kõik altarid kirikutes, ümber sulatada kirikute kellad ja muuta kõik kirikud mošeedeks või turuhooneteks. Nõndaviisi muutus Konstantinoopol Istanbuliks.""""<br />Jne... jne... jne...",2,9,10
Kuidas WC's õigesti käituda?,2,1,13
"likvideerida türklased koos ISISEGA,milleks üleliigne möla.",2,2,3
"kelle maa see enne Eesti riiki oli ja kes sulle selle ""vabaduse"" andis.Kohalikele pärismaalastele on üks kama,kelle kintsu kraapida.Müüdavad orjahinged ju enamus.Isegi oma riigis ei osata peremees olla,ikka peab võõras sõdurisaabas Eesti maad tallama ja juba see pole vabadus mitte,rääkimata muust.",2,7,3
Türgi kalatraaleri ees on juba vene sõjalaeva meremeestel püksid paksu ja vedelat täis...! Ha-ha-ha-haaaaaaaaa.........!,2,7,11
 Kalkun ja türklane on sarnased-mõtlevad et munevad aga hoopis situvad. Vene lennuk oli nato oma ja laev on nato. Poisid venemaa on NATOS-HURAA.,2,2,5
"Hiljuti kusagil oli kirjas, et Türgi merevägi on SEITSE KORDA võimsam Venemaa Musta mere laevastikust.... Peaks mõne ülbe vene sõjalaeva põhja laskma kui ületab Türgi merepiiri....",2,11,9
"Türklastele tulebki koht kätte näidata. Sajandeid ja sajandeid röövisid, põletasid ja tapsid nad Euroopas. Välja saadi need raiped alles 17 saj.",2,15,12
10%? <br />80% ei taha näha Eestis pagulasi!!!,1,2,40
"ja EKRE valitseb lõpuks : <a href=""https://www.youtube.com/watch?v=QY0JkH1X6zM&list=PLmNFNsYG7zLfJbUv_4U1GXbAz7-aRz0_h"" target=""_blank"">https://www.youtube.com/watch?v=QY0JkH1X6zM&list=PLmNFNsYG7zLfJbUv_4U1GXbAz7-aRz0_h</a>",2,13,5
"Tubli tots aga tunneb mu taguots,et norska dopingukütid peagi leiavad võimaluse,et sullegi nuga selga lüüa - no abs enam ei usalda neid trolle ja fis-i.",2,15,5
"Toobal peaks paremini teadma, kuidas saunas käituda ja keda sinna kutsuda.",2,8,15
- Avalikes saunades onaneerimist ei peeta heaks tavaks.,2,2,15
"Kas venelastel enam hoiatuslasku õhku ei ole? Hoiatuslask, aga otse pihta. Kaldun arvama, et ajakirjanik on saanud hoiatuslasu pähe.",2,5,5
"Still water imendub halvemini, sestgkaas tuleb läbi pooride plus CO2 on happe auhtes aktiivsem. Keemia, lapsekesd! (Ainus hoiatus, keppida ei maksa. Südame pumpab üles. Ja juua viina kohe pärast sauna, enne ainult õlut.)",2,0,13
"Hahhaa, ja siis külmetavad terve kümnendi ja lõpetavad igasuguse BEKO tootmise sest neil pole energiat, mis tuleb vaid iraanist ja venemaalt. Selleks see süüria sõdagi, türgi tahab gaasi mujalt et ta saaks hakata sõdima, aga ei saa .... usa võiks viia sinna gaasi balloonides. Aga usa ei vii.",2,11,13
"miks,te inimeselaadsed , arvate et olete siinsel asumaal etemad pärismaalased kui meie emamaal elanud punanahad ?<br />Eestlased kuuluvad Peetruse juurde,eluruum ja õigus ei kuulu eestlastele .<br />Selle eest seisavad head nad ise.nende vaert valitsejad ,armuvalus kiki ja puhas rõivas.",2,9,9
EESLIKARI,2,10,9
"Armas laps, edu sulle! Hoia ennast. Taevaisa hoidku sind oma peopesa kumeruses. Täitugu kõik sinu soovid, kuid unistused jäägu, et oleks millest unistada.",2,0,0
"Need olid ju ""salliva saksamaa"" tegelased kes politseinikega kähmlesid seal. Seejuures sallivalt.",1,1,55
"Jah,nimodi saa eesti pagulane.",2,3,0
